; Rank;Company;Country;Sales;Assets;Market Value;Sector;Industry;Snippet
903;904;Genuine Parts;United States;15. Mrz;08. Sep;13. Mrz;Consumer Discretionary;Specialty Stores;genuine parts GmbH Webshop, Original Teile E-Shop, Verkauf von Original KFZ und LKW Ersatzteilen, sales of original spare parts for vehicle and truck
904;905;Fortis (Canada);Canada;05. Feb;36.7;13. Jun;Utilities;Electric Utilities;Fortis Inc. ist ein kanadisches Energieversorgungsunternehmen mit Sitz in St. John's, Neufundland. Das Unternehmen wurde 1987 gegründet, als Gesellschaftseigner des Unternehmens Newfoundland Power Unterneh…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtFortis Inc. ist ein kanadisches Energieversorgungsunternehmen mit Sitz in St. John's, Neufundland. Das Unternehmen wurde 1987 gegründet, als Gesellschaftseigner des Unternehmens Newfoundland Power Unternehmensteile abspalteten und hieraus Fortis als eigenständige Gesellschaft gründeten.
905;906;Infineon Technologies;Germany;07. Mrz;10. Jan;22. Mai;Information Technology;Semiconductors;https://www.infineon.com/cms/deInfineon Technologies verfügt über ein großes Portfolio an Halbleiterlösungen, Mikrocontroller, LED Treiber, Sensoren sowie Automotive & Power Management ICs.
906;907;Klepierre;France;01. Mai;25. Jul;12. Apr;;;https://www.klepierre.deUnsere Shoppingcenter in Deutschland.
907;908;Randstad Holding;Netherlands;22. Sep;10;10. Mrz;Consumer Discretionary;Business & Personal Services;www.randstad.deAttraktive Jobs beim weltweit größten Personaldienstleister Personalvermittlung Zeitarbeit bundesweite Jobbörse Jetzt mit Randstad auf Jobsuche gehen!Founded: 1968
908;909;Skanska;Sweden;17;12;09. Mrz;Industrials;Construction Services;https://www.skanska.comSkanska is a world leading project development and construction group, aimed at building for a better society. Learn more about us!
909;910;Raymond James Financial;United States;05. Jul;31. Jul;10. Sep;Financials;Investment Services;https://www.boerse.de/aktien/RAYMOND-JAMES-FINANCIAL-Aktie/US75473…14.10.2008 · RAYMOND JAMES FINANCIAL AKTIE (ISIN: US7547301090): Realtime-Kurs der Raymond James Financial Aktie, Dividenden-Rendite und Termine, aktuelle Nachrichten ⇒ Die nächsten Kursziele.
910;911;Gemdale;China;07. Sep;22. Jan;07. Mrz;Financials;Real Estate;https://www.finanzen.net/aktien/gemdale_a26.02.2021 · Die Gemdale Corporation (A) Aktie wird unter der ISIN CNE000001790 an der Börse Shanghai gehandelt. Gemdale Corporation (A) ist ein Unternehmen aus China.
911;912;Invesco;United States;04. Aug;25. Jul;12. Mrz;Financials;Investment Services;https://www.de.invesco.comInvesco Asset Management Deutschland GmbH. An der Welle 5 60322 Frankfurt Main. Tel: 069 29807-0 (Zentrale) Fax: 069 29807-554 E-Mail: kontakt@invesco.com ...
912;913;DSM;Netherlands;08. Aug;13. Aug;12. Jan;Materials;Diversified Chemicals;Royal DSM is a global, purpose-led, science-based company active in Nutrition, Health and Sustainable Living. DSM’s purpose is to create brighter lives for all. Our products and solutions address some of the world’s biggest challenges while simultaneously creating economic, environmental and societal value for all its stakeholders - customers, employees, shareholders, and society at large ...
913;914;Ageas;Belgium;12. Sep;107.7;8;Financials;Diversified Insurance;20 Zeilen · 05.06.2020 · Hier erhalten Sie eine Übersicht über die Dividendenzahlung und …
914;915;Zhejiang Zheneng Electric Power;China;6;15. Aug;11. Apr;Utilities;Electric Utilities;NaN
915;916;Mahindra & Mahindra;India;10. Jul;16. Apr;11. Aug;Consumer Discretionary;Auto & Truck Manufacturers;Mahindra is a billion-dollar global enterprise headquartered in India, which is driven by innovation & compassion. Visit our official website to know more!
916;917;Swatch Group;Switzerland;07. Jul;12. Sep;19. Mrz;Consumer Discretionary;Apparel/Accessories;https://www.swatchgroup.com/deSwatch Group is an international group active in the design, manufacture and sale of finished watches, jewelry, watch movements and components. Swatch Group supplies nearly all components required by its nineteen watch brands, and Swatch Group companies supply movements and components to third-party watchmakers in Switzerland and around the world.
917;918;Huishang Bank;China;05. Mrz;108.6;05. Mrz;Financials;;https://www.finanzen.net/aktien/huishang_bank16.01.2018 · HUISHANG BANK AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Huishang Bank Corporation Ltd (H) | A1W79D | HHSSF | CNE100001QP7
918;919;Vornado Realty;United States;02. Jun;20. Aug;19. Feb;Financials;Real Estate;https://www.finanzen.net/aktien/vornado_realty_trust05.06.2020 · VORNADO REALTY TRUST AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Vornado Realty Trust | 893899 | VNO | US9290421091
919;920;Everest Re Group;Bermuda;05. Aug;21. Mrz;09. Mai;Financials;Diversified Insurance;Die Everest Re Group ist ein Rückversicherungsunternehmen mit Firmensitz in Hamilton, Bermuda. Everest Re ist als Versicherung im Bereich der Rückversicherung tätig. Das Unternehmen ist in New York City an der Börse …Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Everest Re Group ist ein Rückversicherungsunternehmen mit Firmensitz in Hamilton, Bermuda. Everest Re ist als Versicherung im Bereich der Rückversicherung tätig. Das Unternehmen ist in New York City an der Börse gelistet. Es wurde 1973 gegründet und war unter dem Firmennamen Prudential Reinsurance Company anfangs der Rückversicherungssektor des US-amerikanischen Unternehmens Prudential Financial.
920;921;Bank Hapoalim;Israel;04. Apr;116.4;07. Sep;Financials;Major Banks;Die Bank Hapoalim ist ein im Jahre 1921 gegründetes Geldinstitut in Israel.
921;922;Shimao Property Holdings;Hong Kong;09. Jan;37.7;05. Jun;Financials;Real Estate;NaN
922;923;Saudi British Bank;Saudi Arabia;02. Feb;49.6;08. Aug;Financials;Regional Banks;https://www.finanzen.net/aktien/saudi_british_bank_bearer-aktie14.06.2021 · SAUDI BRITISH BANK BEARER AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Saudi British Bank Bearer Shs | 787908 | SA0007879089
923;924;Bank Negara Indonesia;Indonesia;04. Apr;44.8;09. Jan;Financials;Regional Banks;Official Twitter of Bank Negara Indonesia | @BNICustomerCare @BNIPromo | BNI is regulated & supervised by Indonesia Financial Services Authority.
924;925;Inner Mongolia Yili;China;09. Jan;05. Jul;16. Apr;Consumer Staples;Food Processing;Inner Mongolia Yili Industrial Group ist ein chinesisches Unternehmen mit Firmensitz in Hohhot. Es ist im Aktienindex SSE 50 an der Shanghai Stock Exchange gelistet. Yili Group produziert und verkauft Milch und auf Milch basierende Produkte wie Mil…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtInner Mongolia Yili Industrial Group ist ein chinesisches Unternehmen mit Firmensitz in Hohhot. Es ist im Aktienindex SSE 50 an der Shanghai Stock Exchange gelistet. Yili Group produziert und verkauft Milch und auf Milch basierende Produkte wie Milchpulver, Joghurts, kalte Getränke, Eiscremes, Babynahrung, Diätgetränke und Käseprodukte.
925;926;Asr Nederland;Netherlands;07. Mai;59.4;04. Mrz;;;ASR Nederland NV ist eine niederländische Versicherungsgruppe mit Sitz in Utrecht.
926;927;Beiersdorf;Germany;07. Mai;8;24. Jan;Consumer Staples;Household/Personal Care;https://www.beiersdorf.de19.05.2021 · Beiersdorf - Hautpflege als Herzensangelegenheit. FÜR DEN KLIMASCHUTZ. Weiterer Meilenstein erreicht: NIVEA bringt die ersten klimaneutralisierten Produkte auf den Markt und leistet damit einen wichtigen Beitrag zu unserer Nachhaltigkeitsagenda CARE BEYOND SKIN und unserem Klimaengagement. Mehr erfahren.
927;928;Sharp;Japan;18. Mai;15. Feb;20. Mai;Consumer Discretionary;Consumer Electronics;https://www.sharp.deWir bei Sharp nehmen unsere ökologische Verantwortung sehr ernst. Vom Produktdesign über die Herstellung bis hin zur Verpackung und Produktentsorgung sowie dem Energieverbrauch ist es unser stetiges Ziel Abfall zu vermeiden und Ressourcen zu schonen.AnwendungenUnternehmenArbeitsweiseSharp stellt die fortschrittlichste Technologie für Flat-Screen-Displays der Welt her. Unsere interaktiven Monitore, Videowalls, großformatigen Displays für Digital-Signage-Lösungen und professionelle Monitore eignen sich ideal für Unternehmen, Einzelhandel und im Bildungssektor  wo immer Monitore mit hoher Wiedergabetreue gebraucht werden.Mehr zu sharp.de anzeigen
928;929;Salesforce.com;United States;08. Apr;17. Jun;59.7;Information Technology;Software & Programming;https://www.salesforce.comPersonalize every experience along the customer journey with the Customer 360. Unify marketing, sales, service, commerce, and IT on the world's #1 CRM.
929;930;Aluminum Corp of China;China;21. Apr;27. Apr;09. Sep;Materials;Aluminum;NaN
930;931;Mercantil Servicios;Venezuela;0.37;148.7;02. Jul;Financials;Regional Banks;NaN
931;932;Halkbank;Turkey;7;71;03. Mai;Financials;Regional Banks;www.optimal-banking.de/erfahrungen/halkbank.phpDie Halkbank ist eine original türkische Bank, die ihren Hauptsitz seit der Gründung 1938 in der türkischen Hauptstadt Ankara unterhält und auch der türkischen Einlagensicherung angehört. Das Angebot der Halkbank klingt zunächst sehr verlockend: So wird für ein Festgeld von 30 Tagen etwa ein Zinssatz von 3,50 % p.a. gezahlt - eine stattliche Rendite, unerreichbar auf dem deutschen ...
932;933;Guangzhou R&F;China;08. Jan;32.6;05. Apr;Financials;Real Estate;16 Zeilen · 11.06.2021 · News zur GUANGZHOU R&F PROPERTIES AKTIE und aktueller Realtime …
933;934;Tesla;United States;7;22. Jul;49.3;Consumer Discretionary;;https://www.tesla.com/deTesla beschleunigt die weltweite Umstellung auf nachhaltige Energie - mit Elektrofahrzeugen, Solaranlagen und Lösungen für erneuerbare Energien zur privaten oder gewerblichen Nutzung.
934;935;Tokyu;Japan;10. Mrz;18. Feb;9;Industrials;Railroads;Die Tōkyū Dentetsu (jap. 東急電鉄; engl. Tokyu Railways), kurz als Tōkyū (東急) bekannt, ist eine japanische Bahngesellschaft mit Sitz in Shibuya in der Präfektur Tokio. Der Name ist eine Kurzform von Tōkyō Kyūkō Dentetsu Kabushiki-gaisha (東京急行電鉄株式会社), was übersetzt … Die Tōkyū Dentetsu (jap. 東急電鉄; engl. Tokyu Railways), kurz als Tōkyū (東急) bekannt, ist eine japanische Bahngesellschaft mit Sitz in Shibuya in der Präfektur Tokio. Der Name ist eine Kurzform von Tōkyō Kyūkō Dentetsu Kabushiki-gaisha (東京急行電鉄株式会社), was übersetzt „Elektrische Tokio-Expresseisenbahn-Aktiengesellschaft“ lautet. Sie ist das Kernunternehmen der aus über 230 Unternehmen bestehenden Tokyu Group, die unter anderem in den Bereichen Verkehr, Immobilien, Einzelhandel, Freizeit und Kultur tät... +
935;936;Neste Oil;Finland;12. Sep;07. Sep;10;Energy;Oil & Gas Operations;Neste ist ein Raffinerie- und Marketingunternehmen, spezialisiert auf hochwertige Kraftstoffe und sauberen Verkehr. Wir bei Neste tragen konkret dazu bei, indem wir es Unternehmen und Verbrauchern ermöglichen, verantwortungsvolle Entscheidungen zu treffen.
936;937;CMS Energy;United States;06. Apr;21. Jun;12. Jun;Utilities;Electric Utilities;NaN
937;938;Conagra Brands;United States;09. Jun;10. Mai;17. Feb;;;https://www.boerse.de/aktien/Conagra-Brands-Aktie/US205887102930.10.2017 · ConAgra Brands ist ein US-amerikanischer Lebensmittelkonzern, der mit seinem Portfolio zu den größten Lebensmittelfabrikanten auf dem US …
938;939;China Shipbuilding Industry;China;08. Feb;28. Jun;20. Apr;Industrials;Heavy Equipment;China Shipbuilding Industry Corporation ist ein chinesisches Unternehmen mit Firmensitz in Peking. Das Unternehmen ist im Schiffbau und als Rüstungshersteller tätig. Gegründet wurde das Unternehmen 1999 infolge der Neustrukturierun…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtChina Shipbuilding Industry Corporation ist ein chinesisches Unternehmen mit Firmensitz in Peking. Das Unternehmen ist im Schiffbau und als Rüstungshersteller tätig. Gegründet wurde das Unternehmen 1999 infolge der Neustrukturierung der staatlichen Unternehmen im chinesischen Rüstungssektor.
939;940;Jeronimo Martins;Portugal;16. Feb;6;11. Feb;Consumer Staples;Food Retail;Jerónimo Martins SGPS, S.A. mit Hauptsitz in Lissabon ist ein portugiesischer börsennotierter Handels- und Konsumgüterkonzern, dessen Aktivitäten den Lebensmitteleinzelhandel sowie die Produktion und dem Vertrieb von Konsumgüter…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtJerónimo Martins SGPS, S.A. mit Hauptsitz in Lissabon ist ein portugiesischer börsennotierter Handels- und Konsumgüterkonzern, dessen Aktivitäten den Lebensmitteleinzelhandel sowie die Produktion und dem Vertrieb von Konsumgütern umfassen.
940;941;Fairfax Financial;Canada;10. Mrz;43.4;11. Feb;Financials;Property & Casualty Insurance;Fairfax Financial ist ein kanadisches Unternehmen mit Firmensitz in Toronto. Das Unternehmen wurde 1985 gegründet. Das Unternehmen bietet Versicherungen verschiedener Art für seine Kunden an. Fairfax Financial erzielte 2007 Nettoprämieneinnahme…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtFairfax Financial ist ein kanadisches Unternehmen mit Firmensitz in Toronto. Das Unternehmen wurde 1985 gegründet. Das Unternehmen bietet Versicherungen verschiedener Art für seine Kunden an. Fairfax Financial erzielte 2007 Nettoprämieneinnahmen von 4.65 Milliarden US-Dollar und einen Gesamtumsatz von 7,48 Milliarden US-Dollar.
941;942;Westfield;Australia;01. Jan;18. Aug;14;;;Westfield Group war ein australisches Unternehmen mit Firmensitz in Sydney. Das Unternehmen war im Aktienindex S&P/ASX 50 gelistet. Der genaue Firmenname lautet Westfield Corporation Limited. Das Unternehmen ist als Immobilienunternehme…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtWestfield Group war ein australisches Unternehmen mit Firmensitz in Sydney. Das Unternehmen war im Aktienindex S&P/ASX 50 gelistet. Der genaue Firmenname lautet Westfield Corporation Limited. Das Unternehmen ist als Immobilienunternehmen auf Einkaufszentren spezialisiert. Westfield Group besitzt und betreibt Einkaufszentren in Australien, Neuseeland, im Vereinigten Königreich und in den Vereinigten Staaten. Die Einkaufszentren werden mit der Marke Westfield oder Westfield Shoppingtown beworben.
942;943;Keyence;Japan;03. Jul;10. Apr;48.3;Information Technology;Electronics;https://www.keyence.deWillkommen bei KEYENCE: Sensoren, Berührungslose Messsysteme, Industrielle Bildverarbeitung, Lasermarkierung, Profilprojektoren, Mikroskope und mehr. KEYENCE DEUTSCHLAND
943;944;Banque Saudi Fransi;Saudi Arabia;02. Feb;54.2;08. Apr;Financials;Regional Banks;NaN
944;945;Towngas;Hong Kong;03. Jul;15. Jan;26;Energy;;Hong Kong and China Gas ist ein chinesisches Unternehmen mit Firmensitz in Hongkong. Das Unternehmen ist im Aktienindex Hang Seng Index an der Hong Kong Stock Exchange gelistet. Hong Kong and China Gas ist der wichtigste Anbieter von E…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtHong Kong and China Gas ist ein chinesisches Unternehmen mit Firmensitz in Hongkong. Das Unternehmen ist im Aktienindex Hang Seng Index an der Hong Kong Stock Exchange gelistet. Hong Kong and China Gas ist der wichtigste Anbieter von Erdgas in Hongkong. Hong Kong and China Gas wurde 1862 gegründet. Das Unternehmen wird von Alfred Chan geleitet.
945;946;Galaxy Entertainment;Hong Kong;06. Aug;08. Mai;23. Aug;Consumer Discretionary;Casinos & Gaming;Die Galaxy Entertainment Group Limited ist eine Holdinggesellschaft mit Sitz in Hongkong, die vorwiegend Casinos betreibt und damit verbundene Dienstleistungen ausführt. Das Unternehmen ist in den zwei folgenden Segmenten tätig: Spiele un…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Galaxy Entertainment Group Limited ist eine Holdinggesellschaft mit Sitz in Hongkong, die vorwiegend Casinos betreibt und damit verbundene Dienstleistungen ausführt. Das Unternehmen ist in den zwei folgenden Segmenten tätig: Spiele und Unterhaltung sowie Baumaterialien. Das Segment Spiele und Unterhaltung verwaltet Spieleinrichtungen und bietet Hospitality-Services in Macau an. Das Segment Baustoffe umfasst die Herstellung und den Vertrieb von Baustoffen in Hongkong, Macau und Festlandchina.
946;947;WR Berkley;United States;07. Jul;23. Apr;08. Jun;Financials;Property & Casualty Insurance;Karriere bei Berkley Deutschland; Kontakt. W. R. Berkley Europe AG; Zusammenarbeit mit uns; Downloads; Financial Lines. Erfahren Sie Mehr > Haftpflicht. Erfahren Sie Mehr > Cyber. Erfahren Sie Mehr > Sach. Erfahren Sie Mehr > Schaden Erfahren Sie Mehr > +49 (0) 221 99 386 0. KONTAKTIEREN SIE UNS; LinkedIn; Datenschutzerklärung; Nutzungsbedingungen ; Cookie Policy; Impressum; …
947;948;CapitaLand;Singapore;03. Sep;31. Jul;11. Apr;Financials;Real Estate;CapitaLand is one of Asia’s largest diversified real estate groups, headquartered and listed in Singapore.
948;949;Shimizu;Japan;14. Mai;14;07. Feb;Industrials;Construction Services;Shimizu (jap. 清水市, -shi) war eine japanische Stadt in der Präfektur Shizuoka.
949;950;Snam;Italy;02. Jul;21. Feb;15;Energy;;30 Zeilen · 20.01.2020 · Auf dieser Seite findest du alle Informationen zur Dividende von der Snam …
950;951;VakifBank;Turkey;7;69;03. Jul;Financials;Regional Banks;www.vakif-bank.deVakifBank International AG, Wien. Wir bieten unseren Kunden alle klassischen Bankdienstleistungen mit wettbewerbsstarken Konditionen. Termingeld. Mit dem Termingeld-Konto der VakifBank können Sie Ihr Geld nach Ihren persönlichen Zielen und Wünschen anlegen. Tagesgeld. Der einfache und schnelle Weg zu mehr Zinsen. Ihr Geld ist sicher veranlagt und täglich verfügbar. Ertragsrechner ...
951;952;Baker Hughes;United States;09. Aug;19;26. Jan;Energy;Oil Services & Equipment;https://www.bakerhughes.com03.06.2021 · Baker Hughes EVP for Regions, Alliances & Enterprise Sales, Uwem Ukpong, is finding new ways to deliver energy technology for a lower carbon world. READ MORE. Energy Technology. 7 things you should know about non-metallic flexible pipe. Lightweight composite pipe is replacing steel in pipeline applications —bringing its superpowers to multiple new industries. READ MORE. CAREERS. …
952;953;Onex;Canada;22. Mai;42.9;07. Mrz;Financials;Investment Services;https://www.onex.de/startseite.htmlonex® schafft Raum für Visionen. Computer, Internet, Netzwerke, Telefonanlagen oder Cloudcomputing: Nirgends verändern sich Technologien und Leistungen so rasant wie in der IT. Als zuverlässiger und erfahrener Partner bündelt onex ® Fachwissen und innovative Ideen, um Ihr Unternehmen für den Wettbewerb zu stärken.
953;954;Publicis Groupe;France;10. Jun;26. Mrz;15. Apr;Consumer Discretionary;Advertising;https://www.publicisgroupe.deDie Publicis Groupe in Deutschland beschäftigt rund 2.500 Expertinnen und Experten in Berlin, Düsseldorf, Frankfurt, Hamburg, Köln und München. Unser Ziel: Das Geschäft unserer Kunden erfolgreicher zu machen und die Transformation im Marketing voranzutreiben.
954;955;St. James's Place;United Kingdom;15. Mrz;92.6;06. Jul;;;FTSE100 wealth management company providing face-to-face wealth management advice.
955;956;Hershey;United States;07. Apr;05. Mai;22. Jul;Consumer Staples;Food Processing;The Hershey Company ist einer der weltgrößten Schokoladenhersteller. Die Aktie des Unternehmens(NYSE: HSY) ist im Index S&P 500 gelistet.
956;957;CenterPoint Energy;United States;07. Mai;22. Mrz;12;Utilities;Natural Gas Utilities;CenterPoint Energy ist ein US-amerikanischer Strom- und Gasnetzbetreiber mit Unternehmenssitz in der CenterPoint Energy Plaza in Houston, Texas. Das Unternehmen ist im Aktienindex S&P 500 und im Dow Jones Utility Average gelistet.
957;958;HCL Technologies;India;06. Mrz;06. Apr;18. Jul;Information Technology;Software & Programming;https://www.hcltech.comWe deliver innovative technology solutions built around Digital, IoT, Cloud, Automation, Cybersecurity, Analytics, Infrastructure Management and Engineering Services. Visit us today!
958;959;Riyad Bank;Saudi Arabia;02. Jun;58;08. Mrz;Financials;Regional Banks;NaN
959;960;TUI;Germany;18. Aug;14. Jul;07. Sep;Consumer Discretionary;Business & Personal Services;https://www.tui.com14.06.2021 · TUI bietet Ihnen die volle Kombinationsfreiheit für Ihre Reise - wir sind so flexibel, wie Sie es sind. Bei TUI findet jeder Typ Urlaub nach seinem Geschmack. Erstklassige Hotels für Ihre Reisen . Auf TUI.com finden Sie Ferienhotels, die auf ganzer Linie überzeugen: Zuvorkommender Service, beste Qualität, und Exklusivität, hohe Gästezufriedenheit und ökologisch sinnvolles Handeln ...
960;961;BOE Technology Group;China;08. Aug;26. Mrz;18. Apr;Information Technology;Electronics;NaN
961;962;UC Rusal;Russia;8;14. Jun;07. Sep;Materials;Aluminum;United Company RUSAL PLC (russisch РУСАЛ, Abkürzung für Русский алюминий, dt. Russisches Aluminium) ist ein russischer Aluminiumhersteller. Seit der Fusion mit der Siberian-Urals Aluminium Company (SUAL) im Jahre 2007 war RUSAL der weltweit größte Hersteller von Aluminium, … United Company RUSAL PLC (russisch РУСАЛ, Abkürzung für Русский алюминий, dt. Russisches Aluminium) ist ein russischer Aluminiumhersteller. Seit der Fusion mit der Siberian-Urals Aluminium Company (SUAL) im Jahre 2007 war RUSAL der weltweit größte Hersteller von Aluminium, inzwischen liegt das Unternehmen an zweiter Stelle hinter der China Hongqiao Group. RUSAL deckt 75 % der russischen Inlandsnachfrage nach Aluminium ab. 2015 wurden 3,645 Mio. t Primäraluminium hergestellt.
962;963;Idemitsu Kosan;Japan;27. Sep;22. Mai;05. Jun;Energy;Oil & Gas Operations;https://www.finanzen.net/aktien/idemitsu_kosan-aktie05.06.2020 · IDEMITSU KOSAN AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Idemitsu Kosan Co LtdShs | A0LB29 | IDKOF | JP3142500002
963;964;WestRock;United States;14. Apr;22. Sep;12. Aug;;;https://www.westrock.comWestRock is supporting critical infrastructure, supply chains and other manufacturers in delivering much-needed items to consumers now when they need them the most. Packaging is playing an increasingly vital role in consumers' lives during the COVID-19 pandemic. We conducted a survey to help you understand the opportunities with your packaging.
964;965;Deutsche Wohnen;Germany;01. Mrz;17. Jul;12;;;https://www.deutsche-wohnen.com/mieten/mietangeboteOnline über unser Kundenportal: kundenportal.deutsche-wohnen.com. Per E-Mail an kundenservice(at)deutsche-wohnen.com. Telefonisch unter +49 30 89786-0. Sprechzeiten: montags bis donnerstags von 07:30 bis 17:30 Uhr freitags von 07:30 bis 16:00 Uhr. Zum Kundenservice
965;966;Public Storage;United States;02. Jun;10. Jan;38.8;Financials;Real Estate;Public Storage ist ein Real-Estate-Investment-Trust aus den Vereinigten Staaten mit Firmensitz in Glendale, Kalifornien. Das Unternehmen ist im Aktienindex S&P 500 gelistet. Das Unternehmen wurde 1972 von Bradley Wayne Hughes gegrün…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtPublic Storage ist ein Real-Estate-Investment-Trust aus den Vereinigten Staaten mit Firmensitz in Glendale, Kalifornien. Das Unternehmen ist im Aktienindex S&P 500 gelistet. Das Unternehmen wurde 1972 von Bradley Wayne Hughes gegründet.
966;967;Mebuki Financial Group;Japan;01. Apr;137.5;04. Mai;Financials;;NaN
967;968;Comerica;United States;02. Sep;73.2;12;Financials;Regional Banks;Comerica ist ein Finanzunternehmen aus den Vereinigten Staaten mit Sitz in Detroit, Michigan, im Comerica Tower. Das Unternehmen beschäftigt rund 8.100 Mitarbeiter weltweit.
968;969;Voya Financial;United States;10. Jul;216.9;7;Financials;;Voya Financial is here to help you plan, invest and protect your savings to get ready to retire better. See how America’s Retirement Company can help you!
969;970;Arch Capital Group;Bermuda;04. Mrz;29. Apr;11. Mai;Financials;Property & Casualty Insurance;NaN
970;971;Daito Trust Construction;Japan;13. Mai;6;10. Apr;Industrials;Construction Services;NaN
971;972;Fiserv;United States;05. Mai;09. Jul;24. Sep;Information Technology;Software & Programming;06.06.2020 · Fiserv Inc. bietet Informationsmanagementtechnologien und verwandte Dienste für Banken, Broker, Kreditvereinigungen, Finanzplaner und Investmentmanager, Versicherungen sowie …
972;973;Ventas;United States;03. Apr;23. Feb;23;Financials;Real Estate;https://www.ventas.deVENTAS verwendet für die grafische Oberfläche die beste am Markt befindliche Technologie, die von 500.000 Entwicklern weltweit eingesetzt wird. Viele bekannte Programme wie Google-Earth, VLC, Skype sowie der umfangreiche KDE wurden damit erstellt. Sie profitieren von der Power von Commercial-Open-Source-Projekten, an denen wir beteiligt sind. Es ist die optimale Mischung aus großen Entwicklungs …
973;974;CBRE Group;United States;13. Feb;10. Aug;11. Jan;Financials;Real Estate;https://www.cbre.deCBRE Deutschland - CBRE bietet weltweite Dienstleistungen für Gewerbeimmobilien für Investoren, Eigentümer und Nutzer
974;975;Huadian Power International;China;09. Apr;30.2;06. Aug;Utilities;Electric Utilities;NaN
975;976;Markel;United States;05. Jun;25. Sep;13. Jun;Financials;Diversified Insurance;https://www.markel.deMarkel Ihr Spezialversicherer seit 1930. Für jedes gewerbliche Risiko die passende Absicherung Finanzielle Sicherheit Internationale Expertise
976;977;Fidelity National Financial;United States;08. Feb;14. Jun;10. Apr;Financials;Property & Casualty Insurance;NaN
977;978;Inpex;Japan;07. Jun;37.5;14. Sep;Energy;Oil & Gas Operations;INPEX ist ein japanisches Unternehmen mit Firmensitz in Akasaka, Minato, Tokio.
978;979;Leucadia National;United States;10. Sep;45.3;09. Mai;Industrials;Conglomerates;Die Jefferies Financial Group ist eine amerikanische Holdinggesellschaft. Leucadia besitzt eine Reihe von Finanzunternehmen, wichtigste Tochter ist die 2012 übernommene Jefferies Group.
979;980;China Coal Energy;China;08. Aug;34.8;10. Mrz;Materials;Diversified Metals & Mining;China Coal Energy ist ein Unternehmen aus China mit Firmensitz in Peking. Das Unternehmen ist nach China Shenhua Energy das zweitgrößte Kohleunternehmen aus China.
980;981;Ultrapar Participacoes;Brazil;22. Feb;07. Apr;12. Mai;;;NaN
981;982;Bank Of Hangzhou;China;04. Jan;85.3;08. Jun;Financials;;NaN
982;983;Electronic Arts;United States;04. Jun;07. Jul;27. Apr;Information Technology;;https://www.ea.com/de-deElectronic Arts Inc. 19.11.2020. Wir teilen unseren ersten Electronic Arts-Impact-Bericht. Unser erster Impact-Bericht gibt nähere Informationen zu unseren Verpflichtungen und Fortschritten in wichtigen sozialen sowie umweltrelevanten Bereichen. Dies ist ein umfassender Überblick auf unsere Programme und Meilenstei….
983;984;Fortive;United States;06. Feb;08. Feb;20. Sep;Industrials;;https://www.finanzen.net/aktien/fortive-aktieFortive Corporation ist ein diversifiziertes Industrieunternehmen. Die Gruppe ist hauptsächlich in den Bereichen Feldinstrumentierung, Transport, Produktrealisierung, Automatisierung sowie ...
984;985;CP All;Thailand;12. Mrz;09. Aug;16;Consumer Discretionary;Specialty Stores;NaN
985;986;Amphenol;United States;06. Mrz;08. Mai;21. Mai;Information Technology;Electronics;https://www.amphenol.deAmphenol Automotive. Amphenol-Tuchel Electronics GmbH. Datenschutzerklärung privacy policy
986;987;Regeneron Pharmaceuticals;United States;04. Sep;7;40.4;Health Care;Biotechs;https://www.regeneron.comRegeneron Announces Investor Conference Presentations. Regeneron News: Apr 23rd. New Dupixent® (dupilumab) Analyses at Two Upcoming Dermatology Congresses Reinforce Long-term Safety and Efficacy Profile in Patients with Atopic Dermatitis as Young as 6 Years. Now approved in two new patient populations. Now approved.
987;988;Mediobanca;Italy;02. Jun;77.5;07. Jun;Financials;Regional Banks;Die Mediobanca S.p.A. ist ein italienisches Kreditinstitut mit Sitz in Mailand, das vorwiegend in den Bereichen Investmentbanking, Retail Banking und Vermögensverwaltung tätig ist.
988;989;Asahi Glass;Japan;11. Aug;17;09. Feb;Materials;Construction Materials;Das japanische Unternehmen Asahi Glass Co., Ltd. (jap. 旭硝子株式会社, Asahi garasu Kabushiki kaisha) oder AGC kurz genannt, gelistet im Nikkei 225, ist ein Glashersteller. Es ist eines der Unternehmen des ehemaligen Mitsubishi-Konzerns.
